coin,username,NEG,NEU,POS
CRO,yatesinvesting,0.125,0.8125,0.0625
DOGE,billym2k,0.2894248608534323,0.6456400742115028,0.06493506493506493
DOGE,cointelegraph,0.19166666666666668,0.7583333333333333,0.05
DOGE,davidgokhshtein,0.19245283018867926,0.7584905660377359,0.04905660377358491
DOGE,dogecoinride,0.08571428571428572,0.88,0.03428571428571429
DOGE,dogecoinrise,0.1258741258741259,0.8006993006993007,0.07342657342657342
DOGE,investments_ceo,0.08579881656804733,0.863905325443787,0.05029585798816568
DOGE,itsallrisky,0.09764918625678119,0.7757685352622061,0.12658227848101267
DOGE,mattwallace888,0.1279826464208243,0.8199566160520607,0.052060737527114966
DOGE,prothedoge,0.1864801864801865,0.7296037296037297,0.08391608391608392
DOGE,watcherguru,0.055944055944055944,0.7832167832167832,0.16083916083916083
DOT,altcoindailyio,0.17073170731707318,0.6341463414634146,0.1951219512195122
DOT,bigcheds,0.0425531914893617,0.9574468085106383,0.0
DOT,donniebigbags,0.23870967741935484,0.6838709677419355,0.07741935483870968
DOT,enjin,0.045454545454545456,0.9090909090909091,0.045454545454545456
DOT,gate_io,0.017391304347826087,0.9304347826086956,0.05217391304347826
DOT,pastore1314,0.14814814814814814,0.8055555555555556,0.046296296296296294
DOT,techdev_52,0.2,0.8,0.0
DOT,thecryptolark,0.23076923076923078,0.7692307692307693,0.0
ETH,coindesk,0.3253968253968254,0.6349206349206349,0.03968253968253968
ETH,cointelegraph,0.29597197898423816,0.6760070052539404,0.028021015761821366
ETH,digitalassetbuy,0.3284671532846715,0.6447688564476886,0.0267639902676399
ETH,intocryptoverse,0.1935483870967742,0.7290322580645161,0.07741935483870968
ETH,thecryptolark,0.138996138996139,0.8108108108108109,0.05019305019305019
ETH,themooncarl,0.13513513513513514,0.8513513513513513,0.013513513513513514
ETH,watcherguru,0.10599078341013825,0.7926267281105991,0.10138248847926268
LTC,bigcheds,0.15254237288135594,0.7909604519774012,0.05649717514124294
LTC,crypto_birb,0.1794871794871795,0.782051282051282,0.038461538461538464
LTC,cryptomichnl,0.18518518518518517,0.7037037037037037,0.1111111111111111
LTC,cryptotony__,0.09649122807017543,0.7894736842105263,0.11403508771929824
