,datetime,asset,sentiment_positive_total,sentiment_negative_total,dev_activity,dev_activity_change_30d,dev_activity_contributors_count,github_activity_contributors_count,marketcap_usd
58,2021-10-29 00:00:00+00:00,BTC,3203.3579359054565,994.9129474759102,9.0,-0.9526315789473684,5.0,23.0,1173512442368.0
59,2021-10-30 00:00:00+00:00,BTC,4484.055881202221,836.2432963252068,48.0,-0.6903225806451613,14.0,85.0,1167178054167.0
60,2021-10-31 00:00:00+00:00,BTC,2884.157697379589,842.5861594080925,36.0,-0.6571428571428571,13.0,81.0,1156485845063.0
61,2021-11-01 00:00:00+00:00,BTC,4907.899163722992,942.0905224084854,69.0,2.1363636363636362,14.0,128.0,1150606762880.0
62,2021-11-02 00:00:00+00:00,BTC,7895.069565832615,1124.6823927164078,134.0,1.4363636363636365,28.0,132.0,1192577136210.0
63,2021-11-03 00:00:00+00:00,BTC,4428.914999306202,1108.9199830889702,112.0,-0.21126760563380287,25.0,95.0,1187808286560.0
64,2021-11-04 00:00:00+00:00,BTC,3183.096647977829,1281.1726602315903,108.0,-0.19402985074626866,17.0,81.0,1159231375022.0
65,2021-11-05 00:00:00+00:00,BTC,3174.6409843564034,949.3907097578049,122.0,1.0,17.0,76.0,1153128571128.0
66,2021-11-06 00:00:00+00:00,BTC,2789.4546857476234,944.4825651049614,58.0,28.0,14.0,82.0,1160769349887.0
67,2021-11-07 00:00:00+00:00,BTC,2724.217800796032,916.095083117485,71.0,0.0,12.0,102.0,1194778776481.0
68,2021-11-08 00:00:00+00:00,BTC,4204.25680154562,1295.8544543981552,85.0,84.0,16.0,159.0,1274831490851.0
69,2021-11-09 00:00:00+00:00,BTC,4432.707964479923,1389.5109485983849,188.0,187.0,25.0,134.0,1263667113597.0
70,2021-11-10 00:00:00+00:00,BTC,5214.623123705387,1436.450715303421,139.0,45.333333333333336,25.0,93.0,1226431510693.0
71,2021-11-11 00:00:00+00:00,BTC,4364.98842561245,1372.5332576036453,113.0,112.0,26.0,87.0,1225643127560.0
72,2021-11-12 00:00:00+00:00,BTC,4753.675849556923,1421.7551881074905,126.0,30.5,21.0,77.0,1210715199478.0
73,2021-11-13 00:00:00+00:00,BTC,,,41.0,19.5,13.0,82.0,1217517874794.0
74,2021-11-14 00:00:00+00:00,BTC,,,62.0,19.666666666666668,14.0,98.0,1235578996842.0
75,2021-11-15 00:00:00+00:00,BTC,,,134.0,21.333333333333332,19.0,131.0,1199611097094.0
76,2021-11-16 00:00:00+00:00,BTC,,,111.0,0.0,22.0,121.0,1135559300073.0
77,2021-11-17 00:00:00+00:00,BTC,,,105.0,51.5,19.0,104.0,1139519389072.0
78,2021-11-18 00:00:00+00:00,BTC,,,132.0,65.0,24.0,112.0,1074900976539.0
79,2021-11-19 00:00:00+00:00,BTC,,,73.0,17.25,19.0,88.0,1097177697853.0
80,2021-11-20 00:00:00+00:00,BTC,,,19.0,2.1666666666666665,9.0,67.0,1127014430118.0
81,2021-11-21 00:00:00+00:00,BTC,,,43.0,0.0,10.0,86.0,1108812311533.0
82,2021-11-22 00:00:00+00:00,BTC,,,126.0,125.0,28.0,101.0,1062772703759.0
83,2021-11-23 00:00:00+00:00,BTC,,,160.0,0.0,29.0,92.0,1086985075773.0
84,2021-11-24 00:00:00+00:00,BTC,,,85.0,0.0,21.0,112.0,1080190645471.0
85,2021-11-25 00:00:00+00:00,BTC,,,110.0,0.0,20.0,89.0,1112745672239.0
86,2021-11-26 00:00:00+00:00,BTC,,,34.0,0.0,13.0,79.0,1011613083342.0
87,2021-11-27 00:00:00+00:00,BTC,,,21.0,0.0,11.0,88.0,1035176249679.0
88,2021-11-28 00:00:00+00:00,BTC,,,28.0,2.111111111111111,10.0,91.0,1081180416262.0
89,2021-11-29 00:00:00+00:00,BTC,,,136.0,1.8333333333333335,17.0,155.0,1091773828974.0
90,2021-11-30 00:00:00+00:00,BTC,,,99.0,1.75,21.0,117.0,1076689232562.0
