created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count,coin,clean_tweets,tweet_score
2021-11-29 11:07:06 UTC,📈 $LEOS/USDT trading is now LIVE on  &gt;&gt;  https://t.co/WKFlZ56bEn  🔨Launching the new MX DeFi with  - Stake $MX or $BIT to earn yield on $LEOS   ⏰Period: 11:00 Nov 30 -16:00 Dec 2 (UTC)  Details:  https://t.co/2z6dKyGZuc  #LeonicornSwap #MEXCGlobal  https://t.co/R9IeRZRHFT,mexc_global,"['leonicornswap', 'mexcglobal']","['leos', 'mx', 'bit', 'leos']",4699,2380,4948,USDT,trading is now live on &gt;&gt; launching the new mx defi with  stake  or  to earn yield on  period 1100 nov 30 1600 dec 2 (utc) details,5294.0
2021-11-03 09:19:25 UTC,Retweet if you are waiting for $SHIB  listing! 🐶🔥  https://t.co/PmgM3vkzfl,army_shiba,[],['shib'],3681,6313,263,SHIB,retweet if you are waiting for  listing,5259.25
2021-10-27 16:16:18 UTC,BREAKING: CoinGecko is reporting #SHIB has flipped $DOGE.,watcherguru,['shib'],['doge'],2849,9496,832,DOGE,breaking coingecko is reporting  has flipped,5223.0
2021-11-12 01:27:23 UTC,"Next year:  $BTC $250,000 $ETH $20,000 $BNB $1,000 $SOL $700  $LTC  $500 $DOT $100 $ADA $10 $XRP $5 $MATIC $4  $VET $3 $SHIB $.001 $DOGE $1  $SFM $.000050",watcherguru,[],"['btc', 'eth', 'bnb', 'sol', 'ltc', 'dot', 'ada', 'xrp', 'matic', 'vet', 'shib', 'doge', 'sfm']",2340,11137,1508,DOGE,next year,5124.25
2021-11-12 01:27:23 UTC,"Next year:  $BTC $250,000 $ETH $20,000 $BNB $1,000 $SOL $700  $LTC  $500 $DOT $100 $ADA $10 $XRP $5 $MATIC $4  $VET $3 $SHIB $.001 $DOGE $1  $SFM $.000050",watcherguru,[],"['btc', 'eth', 'bnb', 'sol', 'ltc', 'dot', 'ada', 'xrp', 'matic', 'vet', 'shib', 'doge', 'sfm']",2340,11137,1508,ETH,next year,5124.25
2021-11-12 01:27:23 UTC,"Next year:  $BTC $250,000 $ETH $20,000 $BNB $1,000 $SOL $700  $LTC  $500 $DOT $100 $ADA $10 $XRP $5 $MATIC $4  $VET $3 $SHIB $.001 $DOGE $1  $SFM $.000050",watcherguru,[],"['btc', 'eth', 'bnb', 'sol', 'ltc', 'dot', 'ada', 'xrp', 'matic', 'vet', 'shib', 'doge', 'sfm']",2340,11137,1508,MATIC,next year,5124.25
2021-11-12 01:27:23 UTC,"Next year:  $BTC $250,000 $ETH $20,000 $BNB $1,000 $SOL $700  $LTC  $500 $DOT $100 $ADA $10 $XRP $5 $MATIC $4  $VET $3 $SHIB $.001 $DOGE $1  $SFM $.000050",watcherguru,[],"['btc', 'eth', 'bnb', 'sol', 'ltc', 'dot', 'ada', 'xrp', 'matic', 'vet', 'shib', 'doge', 'sfm']",2340,11137,1508,SOL,next year,5124.25
2021-11-12 14:04:12 UTC,"I'm really loving how the roadmap for 2022 Cardano is coming together. It's a living ecosystem, growing, refining, adapting, and becoming stronger. The technology is unbelievable and we have so many great innovations coming to meet the hundreds of projects building on Cardano",iohk_charles,[],[],1959,12135,561,ADA,i'm really loving how the roadmap for 2022 cardano is coming together it's a living ecosystem growing refining adapting and becoming stronger the technology is unbelievable and we have so many great innovations coming to meet the hundreds of projects building on cardano,4992.75
2021-10-20 18:07:13 UTC,I predicted $BTC ATH 4 months ago when most people sold 30k expecting bear market and $5000 levels. Now I’m calling $ETH $20k and $LTC $1000 in next 3 months,crypto_birb,[],"['btc', 'eth', 'ltc']",1408,13168,965,LTC,i predicted  ath 4 months ago when most people sold 30k expecting bear market and  levels now im calling   and   in next 3 months,4700.0
2021-10-27 20:33:42 UTC,$20k $ETH $250k $BTC  $0 $SHIB   By the end of 2022!,themooncarl,[],['eth'],1093,13104,1744,ETH,by the end of 2022,4369.0
2021-11-28 07:11:21 UTC,Elon has no $SHIB but  will start accepting Shiba as  payment soon! 🚀😳,shibinform,[],['shib'],2218,8314,702,SHIB,elon has no  but will start accepting shiba as payment soon,4296.5
2021-11-11 19:27:38 UTC,Buy #ethereum before  announces it.,themooncarl,['ethereum'],[],1237,11790,794,ETH,buy  before announces it,4184.5
2021-11-18 06:20:24 UTC,#BabyDogeCoin Approaching the ‘1 Million Holders Milestone’ a Day Before Launching its #ETH Bridge ()    https://t.co/9W3WZ1f1Iy,watcherguru,"['babydogecoin', 'eth']",[],2571,6236,1096,ETH,approaching the 1 million holders milestone a day before launching its  bridge (),4130.0
2021-11-03 21:25:50 UTC,Elon has no $SHIB but  will start accepting Shiba as  payment soon!🐕🚀😉,shibinfo,[],['shib'],1996,7635,537,SHIB,elon has no  but will start accepting shiba as payment soon,3904.75
2021-11-07 10:45:00 UTC,"Price targets:   #Bitcoin: $100,000  #Ethereum: $10,000 #BNB: $1,000  #Solana: $500 #Cardano: $6  #XRP: $4  $Shib: $0.01  Which one will happen first?",watcherguru,"['bitcoin', 'ethereum', 'bnb', 'solana', 'cardano', 'xrp']",['shib'],1649,8262,2093,SOL,price targets               which one will happen first,3714.5
2021-11-07 10:45:00 UTC,"Price targets:   #Bitcoin: $100,000  #Ethereum: $10,000 #BNB: $1,000  #Solana: $500 #Cardano: $6  #XRP: $4  $Shib: $0.01  Which one will happen first?",watcherguru,"['bitcoin', 'ethereum', 'bnb', 'solana', 'cardano', 'xrp']",['shib'],1649,8262,2093,ETH,price targets               which one will happen first,3714.5
2021-11-11 19:21:44 UTC,"I took profit on $LUNA at $17! I landed up buying them back at $34!  I took profit on $AR at $12, I bought them back at $55.  I took profits on $ETH at $330, I bought them back at $2000!  Don’t chase short term profit in a technology that will change the world given enough time.",cryptomanran,[],"['luna', 'ar', 'eth']",1276,9742,763,LUNA,i took profit on  at  i landed up buying them back at  i took profit on  at  i bought them back at  i took profits on  at  i bought them back at  dont chase short term profit in a technology that will change the world given enough time,3711.5
2021-11-05 03:39:39 UTC,"What’s happening first…?   #Bitcoin to $100,000  #Ethereum to $10,000  #BNB  to $1,000  #Solana to $300 #Link to $150  #Cardano to $5  #VeChain to $1 #XRP to $5  #XLM to $1 #DOGE to $1  #SHIB to $0.001 #SafeMoon to $0.001",watcherguru,"['bitcoin', 'ethereum', 'bnb', 'solana', 'link', 'cardano', 'vechain', 'xrp', 'xlm', 'doge', 'shib', 'safemoon']",[],1507,7369,2653,SOL,whats happening first    to     to   to   to   to   to   to   to   to   to,3349.25
2021-09-19 15:52:49 UTC,Now it's being reported that  will be widely adopted - redefining online payments and will probably IPO after the SEC lawsuit.  What have I said? #XRPArmy  $XRP Will replace swift &amp; tie the banking world together for efficiency.,bitboy_crypto,['xrparmy'],['xrp'],1442,7617,1042,XRP,now it's being reported that will be widely adopted  redefining online payments and will probably ipo after the sec lawsuit what have i said   will replace swift &amp; tie the banking world together for efficiency,3346.25
