hashtags,replies_count,created_at,tweet,language,id,username,name,cashtags,retweets_count,likes_count
[],40,2021-09-17 19:41:17 UTC,Until this sham @Ripple lawsuit is resolved I will be focusing all my attention on who these stakeholders are and how we ended up with a crypto industry and an SEC built around their interests.  https://t.co/Mohp4a1EmD,en,1438951209830948867,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],225,806
[],17,2021-09-17 14:35:04 UTC,@CGasparino @Ripple @FoxBusiness @SEC_Enforcement @GaryGensler Hey @CGasparino you're going to want to see this...developing  https://t.co/MDmy2gyqSO,en,1438874147539595267,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],98,610
[],14,2021-09-17 11:51:15 UTC,Hey @JohnEDeaton1 @CGasparino @ripple Anyone know where there is a copy of this video?  https://t.co/vzBXxoXIUa,en,1438832920920272908,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],84,283
[],51,2021-09-16 23:39:47 UTC,I mentioned it on my show but worth repeating.  I want all these good digital asset products to succeed including Bitcoin and Ethereum.  All we want is a level playing field for XRP ADA Ethereum Bitcoin or any other digital asset.  @GaryGensler End This Mess!,en,1438648842275246084,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],240,1158
"['xrp', 'xrpthestandard']",8,2021-09-16 20:47:47 UTC,SEC &amp; Ethereum vs. Ripple &amp; XRP Investors / Crypto Industry #xrp #xrpthestandard @ripple   https://t.co/YrwuWQU6tU,en,1438605556772741124,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],49,153
[],18,2021-09-16 17:57:27 UTC,@CGasparino @SEC_Enforcement @Ripple @CFTC I'll just leave this here:  https://t.co/UpKRPouumu Bill Hinman's speech gave Ethereum a free pass and nobody else.,en,1438562691677835264,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],102,351
[],14,2021-09-16 14:50:21 UTC,I remember covering this.  I remember saying how strange it was that this retired CFTC guy comes out of nowhere to say he things XRP and Ethereum are securities.  A month later Ethereum gets a free pass.,en,1438515604680445965,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],41,149
"['xrp', 'xrpthestandard']",6,2021-09-16 14:00:39 UTC,Breaking Fox News! SEC / Ethereum VS. Ripple / XRP #xrp #xrpthestandard @ripple @JohnEDeaton1 @CGasparino   https://t.co/4LA6K3fsuZ,en,1438503099061006339,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],62,217
[],2,2021-09-16 11:59:35 UTC,"Don't forget the May 10,2018 @CGasparino story set that his source told him Consensys's Brooklyn Project was sanctioned by the SEC and also working with the CFTC.  Later Lubin gloats that Ripple was not included in the video I showed.",en,1438472631641051140,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],58,143
[],15,2021-09-16 11:57:23 UTC,SEC Meetings/Calls From @ripple Lawsuit @JohnEDeaton1  Dec 2017-Joseph Lubin 12/13/17-Consensys March 2017-Consensys 4/10/18-CFTC 4/23/18-Consensys 6/8/18-Consensys 6/24/2018-Hinman Ethereum Free Pass Speech 7/19/18-CFTC 8/22/18-CFTC 9/18/18-Ripple Regarding Investigation  👀👀,en,1438472079322624004,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],115,384
