replies_count,tweet,created_at,cashtags,username,name,id,retweets_count,likes_count,hashtags,language
26,#BTC has broken out to new All Time Highs  $ETH has made a new All Time Highs today  Even $LTC has broken out  Today is a fantastic day  #Litecoin #Ethereum #Bitcoin,2021-11-09 08:41:43 UTC,"['eth', 'ltc']",rektcapital,Rekt Capital,1457991780478164993,49,598,"['btc', 'litecoin', 'ethereum', 'bitcoin']",en
11,"$LTC / USD - #LTC #Litecoin   Fantastic +21% move thus far  LTC has broken beyond the $225 resistance  Indeed, this $225 resistance didn't have much strength left in it  LTC has broken into the $225-$270 range  Over time, LTC will levitate towards the ~$270 area (blue)  #Crypto  https://t.co/B2se9F3g5E",2021-11-09 08:33:58 UTC,['ltc'],rektcapital,Rekt Capital,1457989831045300225,24,143,"['ltc', 'litecoin', 'crypto']",en
8,"$LTC / USD - #LTC #Litecoin   Litecoin has successfully revisited the Range High of $225 (red), rallying +11% to do so  It's likely this $225 resistance won't reject price as much  Over time, LTC will be able to break beyond this area &amp; ascend inside the $225-$270 range  #Crypto  https://t.co/91mlUqFjDr",2021-11-08 17:19:12 UTC,['ltc'],rektcapital,Rekt Capital,1457759623163830273,14,152,"['ltc', 'litecoin', 'crypto']",en
9,"$LTC / USD - #LTC #Litecoin   Litecoin has broken out into an almost +9% move since yesterday  Now ascending towards the Range High of $225 (red)  And upon revisit of $225, it will be interesting to see how much this area has weakened as a point of rejection  #Crypto  https://t.co/I9mZtvSyDq",2021-11-08 15:49:54 UTC,['ltc'],rektcapital,Rekt Capital,1457737151228092426,13,119,"['ltc', 'litecoin', 'crypto']",en
22,"$LTC / USD - #LTC #Litecoin   Two weeks ago, LTC broke back into its $180-$225 range (orange-red)  Last week, LTC successfully flipped ~$180 (orange) into support  This week, LTC is enjoying some continuation  Over time, LTC should be able to revisit the $225 area (red)  #Crypto  https://t.co/K1XuxtpPni",2021-11-07 21:40:32 UTC,['ltc'],rektcapital,Rekt Capital,1457462999980052480,30,289,"['ltc', 'litecoin', 'crypto']",en
2,@FeraSY1 @TrueCrypto28 @TheCryptoDog @Pentosh1 @TraderLenny @CryptoWizardd @nebraskangooner @BondsCharts @im_goomba @Your_NLP_Coach @JJcycles @EmperorBTC @ValCoins @CryptoNTez @Livercoin @HsakaTrades @Anbessa100 @ltc_angel @honey_btc @888Velvet Thanks for the shoutout man!,2021-10-29 16:09:00 UTC,[],rektcapital,Rekt Capital,1454118078871134210,1,4,[],en
15,"$LTC / USD - #LTC #Litecoin   With this recent breakout, LTC breaks back into its $180-$225 range (orange-red)  It's possible to see a revisit of $225 soon  And upon revisit, it will be interesting to see how much this area has weakened as a point of rejection  #Crypto  https://t.co/4IMkdg58FC",2021-10-21 09:32:38 UTC,['ltc'],rektcapital,Rekt Capital,1451119227356733444,37,205,"['ltc', 'litecoin', 'crypto']",en
2,@Konrad34560481 Not at this time. BTC ETH LTC only at the moment,2021-10-07 16:36:05 UTC,[],rektcapital,Rekt Capital,1446152359890063362,0,0,[],en
1,@HasnainAltaf14 At the moment just BTC ETH and LTC,2021-10-07 07:48:49 UTC,[],rektcapital,Rekt Capital,1446019669526294531,0,1,[],en
1,@PowerRangerZack I’ll share an updated LTC analysis in the coming weeks,2021-10-06 16:43:56 UTC,[],rektcapital,Rekt Capital,1445791948221018112,0,0,[],en
6,"As discussed in yesterday's Newsletter, $LTC was lagging behind Altcoins with similar set-ups  However, #LTC has since resynchronised with those Altcoins  All Altcoins mentioned yesterday are positioned well for upside  Sign up for $12 a month:   https://t.co/6D0cB8N56X  #Crypto  https://t.co/QR230daZzQ",2021-09-16 11:45:29 UTC,['ltc'],rektcapital,Rekt Capital,1438469083247284227,3,74,"['ltc', 'crypto']",en
7,"$LTC  Great recovery from LTC following the retest of the black multi-week uptrend line  LTC has now broken back into the $184-$225 range (orange-red)  Throughout the rest of the week, LTC will try to solidify its positioning at the base of this range  #LTC #Crypto #Litecoin  https://t.co/AZoj2MDyIp",2021-09-16 10:59:04 UTC,['ltc'],rektcapital,Rekt Capital,1438457403855548418,15,110,"['ltc', 'crypto', 'litecoin']",en
5,"New edition of the Rekt Capital Newsletter is live!  ""Bitcoin Is On Track...""  I talk about how #BTC is on track to repeating history &amp; share detailed overview of $ETH, $LINK, $LTC and three other Altcoins  Sign up for $12 a month:   https://t.co/TcgpdiDVEs  $BTC #Crypto #Bitcoin",2021-09-15 15:17:28 UTC,"['eth', 'link', 'ltc', 'btc']",rektcapital,Rekt Capital,1438160040381272070,4,73,"['btc', 'crypto', 'bitcoin']",en
30,"$LTC  Strong rejection from the $225 resistance for a second week in a row  Litecoin has returned to the very bottom of the $184-$225 range  At the moment, LTC is losing the Range Low as support but still holding the multi-week uptrend line (black)  #LTC #Crypto #Litecoin  https://t.co/tClrw88Syf",2021-09-15 09:35:58 UTC,['ltc'],rektcapital,Rekt Capital,1438074102816944131,7,77,"['ltc', 'crypto', 'litecoin']",en
25,"$LTC  Fantastic Weekly Close inside the orange area, followed by a picture-perfect retest of the black Higher Low this week  Litecoin has rebounded over +25% from the bottom to the top of the $184-$225 range  #LTC #Crypto #Litecoin  https://t.co/OIvUNMzBRZ",2021-09-13 14:01:02 UTC,['ltc'],rektcapital,Rekt Capital,1437416031803281415,12,94,"['ltc', 'crypto', 'litecoin']",en
20,$LTC  A Weekly Close just like this would be enough for #LTC to properly turn the orange area into support  That Weekly Close would be great confirmation for LTC solidifying a base at the bottom of its new range of $184-$225  #Crypto #Litecoin  https://t.co/wdU1ziRZbH,2021-09-12 16:37:57 UTC,['ltc'],rektcapital,Rekt Capital,1437093132731129859,18,117,"['ltc', 'crypto', 'litecoin']",en
55,"$LTC  So far, Litecoin is on track to Weekly Closing inside orange  This is what LTC needs to do to solidify a bottom inside this orange demand region   LTC is almost there but ultimately the Weekly Close needs to confirm this  #Crypto #Litecoin  https://t.co/uFjuQgjSN6",2021-09-11 14:22:11 UTC,['ltc'],rektcapital,Rekt Capital,1436696576425091072,25,156,"['crypto', 'litecoin']",en
91,$LTC  Weekly Closed above the red area ($225) but failed to retest it as support  #LTC has since experienced a harsh rejection to the Higher Low that enabled last week's uptrend  Weekly Close inside orange could confirm more upside on this recovery from the HL  #Crypto #Litecoin  https://t.co/AoT4AZSzgz,2021-09-08 20:57:50 UTC,['ltc'],rektcapital,Rekt Capital,1435708984359538691,17,85,"['ltc', 'crypto', 'litecoin']",en
19,"Are Altcoins Ready For New Breakouts?  My new YouTube video features analysis on $ETH, $ADA, $LTC and $BAND  Checkout it out:   https://t.co/UyiFzIRfHh  Enjoy and Subscribe!  #BTC #Crypto #Bitcoin",2021-09-06 15:44:09 UTC,"['eth', 'ada', 'ltc', 'band']",rektcapital,Rekt Capital,1434905267435622401,15,178,"['btc', 'crypto', 'bitcoin']",en
12,"$LTC On The Cusp Of A Major Move To The Upside Again?  Checkout my new YouTube video for a full #LTC analysis:   https://t.co/Xsly8hPtX7  Enjoy and Subscribe as we're near 40,000 Subscribers on YouTube!  #Crypto #Litecoin",2021-09-06 11:38:19 UTC,['ltc'],rektcapital,Rekt Capital,1434843401057411076,15,151,"['ltc', 'crypto', 'litecoin']",en
5,$LTC   Successful retests of the 200-day EMA for #LTC have led to great upside  LTC has rallied +39% since successfully retesting the 200-day EMA as support  #Crypto #Litecoin  https://t.co/1n2jNTrd8N,2021-09-06 11:20:56 UTC,['ltc'],rektcapital,Rekt Capital,1434839025517580292,8,128,"['ltc', 'crypto', 'litecoin']",en
8,At this time this early in the new week...  #BTC is well positioned for further upside   $ETH is well positioned for further upside  So is $LTC &amp; $BAND  So is the entire Altcoin Market Cap  All in the process of crucial retest attempts after great Weekly Closes  #Crypto #Bitcoin,2021-09-06 08:24:09 UTC,"['eth', 'ltc', 'band']",rektcapital,Rekt Capital,1434794536832749570,38,379,"['btc', 'crypto', 'bitcoin']",en
3,$LTC #LTC #Litecoin   LTC has successfully performed a Weekly Close above $225  Now LTC is in the process of retesting this previous major resistance area into one of new support  Successful retest here could enable a rally to the $260s (blue)  #Crypto  https://t.co/1PX7rdQwV7,2021-09-06 08:08:08 UTC,['ltc'],rektcapital,Rekt Capital,1434790505888587776,11,138,"['ltc', 'litecoin', 'crypto']",en
18,$LTC is currently challenging its major resistance area ($225)  Weekly Close above it and #LTC could even accelerate towards the high $260s  The Weekly Close is just around the corner so we'll find out soon enough whether bullish confirmation is in or not  #Crypto #Litecoin,2021-09-05 15:22:15 UTC,['ltc'],rektcapital,Rekt Capital,1434537368774713349,46,431,"['ltc', 'crypto', 'litecoin']",en
3,"$LTC #LTC #Litecoin   Rallied +88% since bottoming in the green area  Now just below a major resistance ($225, red)  Weekly Close above $225 could enable more upside to the $260s (blue)  Until that Weekly confirmation, LTC will remain in the $190-$225 range (orange-red)  #Crypto  https://t.co/F28alKOb8z",2021-09-04 09:39:42 UTC,['ltc'],rektcapital,Rekt Capital,1434088776041734145,22,141,"['ltc', 'litecoin', 'crypto']",en
4,$LTC #LTC #Litecoin   LTC has reached its immediate major resistance at $225 (red)  LTC has rallied +88% since bottoming in the green area  #Crypto  https://t.co/nwi8XakmZV,2021-09-04 09:28:31 UTC,['ltc'],rektcapital,Rekt Capital,1434085958606020608,21,143,"['ltc', 'litecoin', 'crypto']",en
14,$LTC #LTC #Litecoin   Successful retest of the green area has resulted in a +78% uptrend  LTC is very close to reaching its next major resistance at $225 (red)  #Crypto  https://t.co/iq9QLgt7vJ,2021-09-03 18:16:02 UTC,['ltc'],rektcapital,Rekt Capital,1433856325230989313,18,161,"['ltc', 'litecoin', 'crypto']",en
11,$LTC has casually climbed to $210+ at this stage  #LTC #Crypto #Litecoin,2021-09-03 18:13:21 UTC,['ltc'],rektcapital,Rekt Capital,1433855650778468355,25,245,"['ltc', 'crypto', 'litecoin']",en
9,$LTC  Litecoin has broken into the orange-red range  #LTC #Crypto #Litecoin  https://t.co/trHkGvW0ld,2021-09-03 16:06:06 UTC,['ltc'],rektcapital,Rekt Capital,1433823626218909704,16,146,"['ltc', 'crypto', 'litecoin']",en
10,$LTC enjoys a phenomenal breakout beyond the major orange resistance  #LTC #Crypto #Litecoin  https://t.co/IMGOmB4GR6,2021-09-03 15:41:16 UTC,['ltc'],rektcapital,Rekt Capital,1433817378798907398,34,259,"['ltc', 'crypto', 'litecoin']",en
19,$LTC has now casually climbed to $200  #LTC #Crypto #Litecoin,2021-09-03 13:31:13 UTC,['ltc'],rektcapital,Rekt Capital,1433784647343919108,19,241,"['ltc', 'crypto', 'litecoin']",en
