id,name,replies_count,created_at,retweets_count,tweet,hashtags,language,cashtags,username,likes_count
1461356754164273163,Algorand,6,2021-11-18 15:32:55 UTC,44,"Earlier today, @AlgoFoundation's Co-Pierre Georg was joined by key leaders from @SDX_global, @BNYMellon and @OMFIF to examine the challenges that the digital assets landscape is facing as it evolves.  Register to watch the replay on demand 👉  https://t.co/MGKLCygua0  https://t.co/zQeM78CmG3",[],en,[],algorand,301
1461085499679035396,Algorand,6,2021-11-17 21:35:03 UTC,49,"Have you grabbed your virtual ticket yet for #Decipher? Tickets are flying fast for Algorand’s inaugural two-day experience in Miami. Save your spot to hear from speakers like @adikmishra, CEO of @XTZ_ESPORTS 👉  https://t.co/tBcaC2oULP  https://t.co/RaDmHFHx8Y",['decipher'],en,[],algorand,234
1461052618097127425,Algorand,5,2021-11-17 19:24:23 UTC,48,"Exhibitions by @VSCO is now LIVE! Built on the #Algorand blockchain, Exhibitions is the first highly-curated #NFT venue of its kind — featuring digital art from and for the world’s best curators, creators &amp; collectors 👉  https://t.co/L6mL9WmxDD @plaza__computer  https://t.co/xG2s7b2T4i","['algorand', 'nft']",en,[],algorand,252
1461004477503209473,Algorand,2,2021-11-17 16:13:06 UTC,45,A new suite of #Algorand analytics are now live at @intotheblock 🔥,['algorand'],en,[],algorand,243
1460993396164546560,Algorand,14,2021-11-17 15:29:04 UTC,156,"Welcome to the #Algorand ecosystem, @Exberry3!",['algorand'],en,[],algorand,474
1460731739395932161,Algorand,13,2021-11-16 22:09:20 UTC,80,The first-ever Hollywood Premier tickets have been sold as #NFTs on @Abris_io 🎥🍿,['nfts'],en,[],algorand,351
1460652647632064530,Algorand,3,2021-11-16 16:55:03 UTC,26,"Starting in 5 minutes — @DeptAgency takes over Algorand’s developer office hour to give a live demo of AlgoMart, the first ever white-label, open source platform for creating your brand’s own #NFT marketplace. Join now 👉  https://t.co/R70A6XFqYw  https://t.co/0dqgfOkksa",['nft'],en,[],algorand,182
1460636611788480518,Algorand,17,2021-11-16 15:51:20 UTC,68,This week’s guest on The Future on Algorand series is @FortiorB!  Tune in to hear @KeliCallaghan and the Co-founders of Fortior Blockchain discuss how they are leveraging AI and blockchain to build a #decentralized voting system.  📺 Watch the full video:  https://t.co/OxwjBfD5y4  https://t.co/7JEQxmHZLc,['decentralized'],en,[],algorand,259
1460323030958178307,Algorand,12,2021-11-15 19:05:16 UTC,72,"Congrats to @lofty_ai on their 50th tokenized property launch! Lofty AI’s model allows anyone to become a direct owner in real estate, made possible by their blockchain-based solution on #Algorand.   Check out the available properties 👉  https://t.co/IcabAWrahK",['algorand'],en,[],algorand,369
1460289351397490693,Algorand,88,2021-11-15 16:51:26 UTC,94,Sneak peek at what’s coming 👀  Any guesses? #Decipher @al_goanna  https://t.co/wbGC1T692D,['decipher'],en,[],algorand,622
1460276216225689602,Algorand,7,2021-11-15 15:59:15 UTC,50,Speed through neon-lit courses and become a top pilot in @DroneRaceLeague’s first-ever mobile game 🚀,[],en,[],algorand,241
