replies_count,tweet,created_at,cashtags,username,name,id,retweets_count,likes_count,hashtags,language
1,Just posted a photo @ XRP  https://t.co/NkKyjfIFoA,2021-11-14 22:51:48 UTC,[],kevin_cage_,Kevin Cage,1460017652219494402,2,15,[],en
5,@caliryan5 @Blockworks_ @Ripple 👊👏 $XRP The black sheep of Crypto for good reason,2021-11-13 22:13:13 UTC,['xrp'],kevin_cage_,Kevin Cage,1459645551373336593,9,91,[],en
38,"#Crypto Assets  Imagine owning $AMZN Stock YEARS BEFORE Amazon even started scaling, before applications were used by the majority of the population  We own pieces of the future protocols &amp; networks.  Choose wisely...  $XRP $HBAR $XLM $ALGO $ADA $CSPR $DAG #API3 $FLR $ETH $ALBT",2021-11-13 19:58:46 UTC,"['amzn', 'xrp', 'hbar', 'xlm', 'algo', 'ada', 'cspr', 'dag', 'flr', 'eth', 'albt']",kevin_cage_,Kevin Cage,1459611715960721414,76,473,"['crypto', 'api3']",en
0,NEED TO SEE 💎 #Ripple $XRP News Super Random Saturday Video #Crypto Market #Bitcoin 💲 ALPHA AT END   https://t.co/2hoSKCqEM8 via @YouTube,2021-11-13 19:51:34 UTC,['xrp'],kevin_cage_,Kevin Cage,1459609906173161478,7,28,"['ripple', 'crypto', 'bitcoin']",en
2,NEED TO SEE 💎 Ripple XRP News Super Random Saturday Video Crypto Market ...  https://t.co/2hoSKCqEM8 via @YouTube,2021-11-13 19:50:54 UTC,[],kevin_cage_,Kevin Cage,1459609739269189632,5,12,[],en
47,Just found the most bullish pattern on the $XRP Chart  I call it the Head Shoulders Knees n Toes 🤣,2021-11-13 19:08:19 UTC,['xrp'],kevin_cage_,Kevin Cage,1459599020549148679,42,854,[],en
3,Amazing $XRP Analysis by @CredibleCrypto   Be sure to give it a watch &amp; subscribe ✅ #XRPCommunity    https://t.co/m1CCclew2K,2021-11-12 20:15:44 UTC,['xrp'],kevin_cage_,Kevin Cage,1459253600270626824,22,188,['xrpcommunity'],en
3,Just posted a photo @ XRP  https://t.co/Po0sCHwe6d,2021-11-12 19:50:24 UTC,[],kevin_cage_,Kevin Cage,1459247224748404736,2,20,[],en
31,💥You never know which day you'll wake up to seeing that GIANT green candle 📈🚀 that we've waited years for...✅  $XRP #xrpcommmunity,2021-11-12 19:47:09 UTC,['xrp'],kevin_cage_,Kevin Cage,1459246406011691008,55,725,['xrpcommmunity'],en
5,Ripple $XRP News 💥 Hedera &amp; RippleNet Connected to Fidelity FIS &amp; United States Clearing House 📈 $HBAR  https://t.co/YJ6pkI9U9l via @YouTube,2021-11-12 18:46:31 UTC,"['xrp', 'hbar']",kevin_cage_,Kevin Cage,1459231149042114561,17,87,[],en
