username,id,language,retweets_count,tweet,hashtags,replies_count,cashtags,name,likes_count,created_at
shibainuart,1453060472685547520,en,347,STAY ALERT 🚨 another scam flowing on Telegram. Using my name to impersonate. This is a SCAM!!! There is not Shiba activity Rewards!! Or air drops! Or bonus!!! #SHIBARMY  https://t.co/FMFlUHywyr,['shibarmy'],40,[],MILKSHAKE,695,2021-10-26 18:06:27 UTC
shibainuart,1452990488978477063,en,894,🚀INCREDIBLE: Shiba Inu $SHIB continues to hit new All Time Highs! ATH after ATH! Lets delete the zero!  Holders are up 587% in the past 1 month.,[],129,['shib'],MILKSHAKE,2637,2021-10-26 13:28:22 UTC
shibainuart,1452674066268123137,en,668,"Shiba inu $SHIB coin, a ""meme"" cryptocurrency, hits all-time high.  (""I wish they realized we are more than a meme."")  Source: @CNN   https://t.co/W3dhqXPC7m",[],113,['shib'],MILKSHAKE,1928,2021-10-25 16:31:01 UTC
shibainuart,1452471974874079238,en,691,"Have a goodnight #ShibArmy, I'm going to bed early after not sleeping for over 24 hours (ATH excitement had me going!) Will be back tomorrow!   Image: Uni is a 9-month-old Shiba Inu living in Tokyo, Japan.  https://t.co/owIlHKUgbh",['shibarmy'],180,[],MILKSHAKE,3284,2021-10-25 03:07:59 UTC
shibainuart,1452283467438428171,en,588,"Shiba Inu $SHIB Jumps 50% to Record, Becoming 11th-Biggest Crypto Coin in the World.  Source: @business   https://t.co/CeNrgdOZQA",[],74,['shib'],MILKSHAKE,1546,2021-10-24 14:38:55 UTC
shibainuart,1452273404824989697,en,467,"I continue to say this: Our community is Shiba Inu. The ideas and solid support, showcases the ongoing growth, and acknowledgment of fulfilling Ryoshi’s dream. Ideas like this make me smile! Thank you @iamstevencooper Bullish snowball effect indeed. 🚀 $SHIB",[],65,['shib'],MILKSHAKE,1478,2021-10-24 13:58:56 UTC
shibainuart,1452184221812936705,en,1147,"Shiba Inu $SHIB Hits New All-Time High, Becomes Most Traded Cryptocurrency on @Coinbase  https://t.co/mwqPV4jDOK",[],185,['shib'],MILKSHAKE,3065,2021-10-24 08:04:33 UTC
shibainuart,1451696507233570825,en,420,SHIBA INU: Moving $SHIB to $0.00003  Source:  https://t.co/rdJInMpPND,[],39,['shib'],MILKSHAKE,1280,2021-10-22 23:46:33 UTC
shibainuart,1451696266220474370,en,639,Shiba Inu $SHIB Aims For Groundbreaking Shift In Primary Architecture With The Launch Of Its Own Blockchain  Source:  https://t.co/NgjK0NTGKt,[],120,['shib'],MILKSHAKE,1572,2021-10-22 23:45:35 UTC
shibainuart,1451696031494643714,en,294,Shiba Inu price analysis: $SHIB to breakout with RSI showing solid buyer interest at $0.000027  Source:  https://t.co/uY1s3yJepx,[],23,['shib'],MILKSHAKE,805,2021-10-22 23:44:39 UTC
shibainuart,1451695867019161602,en,523,Why people traded Dogecoin for Shiba Inu $SHIB cryptocurrency coins.  Source:  https://t.co/PMkB3kkqEV,[],121,['shib'],MILKSHAKE,1410,2021-10-22 23:44:00 UTC
shibainuart,1451267779126980608,en,849,"Shiba Inu $SHIB now listed on Public, Robinhood next?   https://t.co/bsrLDelej8",[],135,['shib'],MILKSHAKE,2788,2021-10-21 19:22:56 UTC
shibainuart,1450899334992588804,en,363,Beautiful Shiba Inu 👀 in @SnoopDogg's latest MV. #ShibArmy...  https://t.co/NVdoZlJx7n,['shibarmy'],94,[],MILKSHAKE,1237,2021-10-20 18:58:52 UTC
shibainuart,1449837564731351043,en,64,@army_shiba Bullish!,[],18,[],MILKSHAKE,343,2021-10-17 20:39:46 UTC
shibainuart,1448421598885675008,en,42,Telegram's original channel is where I started my path into sharing experiences with others about the love for Shiba Inu. I still remember Ryoshi days when he would interact with the community and bring forward the push for decentralization and community.,[],1,[],MILKSHAKE,171,2021-10-13 22:53:14 UTC
shibainuart,1448421597593800709,en,165,"#ShibArmy Telegram, so crazy to see all the great talks, and efforts being constantly mitigated in the communication platform. With the new introduction of the new channel unifying the community, it's never been  better to share and collaborate on all things related Shiba.",['shibarmy'],10,[],MILKSHAKE,566,2021-10-13 22:53:13 UTC
shibainuart,1448336480057769987,en,657,Shiba Inu $SHIB Listed on India's Oldest Cryptocurrency Exchange   https://t.co/Kc09ATewlW,[],77,['shib'],MILKSHAKE,1876,2021-10-13 17:15:00 UTC
shibainuart,1448336184661315586,en,253,Yahoo Finance: What is the Shiba Inu $SHIB cryptocurrency?   https://t.co/fRdxZUR9NC,[],31,['shib'],MILKSHAKE,696,2021-10-13 17:13:49 UTC
shibainuart,1448158039157067776,en,444,"If the Paraguay calls for Shiba Inu are true, and the people of #Paraguay 🇵🇾 are asking for $SHIB to be a legal currency there, that would be just massive.",['paraguay'],90,['shib'],MILKSHAKE,1165,2021-10-13 05:25:56 UTC
shibainuart,1448153641379000320,en,444,All Top 30 Altcoins Crashed Against BTC Weekly: Shiba Inu $SHIB is the Only One Up 80%   https://t.co/oUvMhTY7dj,[],66,['shib'],MILKSHAKE,1162,2021-10-13 05:08:28 UTC
shibainuart,1448091036593631232,en,353,"Shiba Inu $SHIB Enters Top 11 On @CoinGecko, Just Behind Dogecoin   Source:  https://t.co/WL4FCQrhg9",[],47,['shib'],MILKSHAKE,1053,2021-10-13 00:59:42 UTC
shibainuart,1448090517703565312,en,634,"Shiba Inu's $SHIB Twitter Popularity Wins On Dogecoin, Bitcoin And Ethereum.  Source: @Benzinga   https://t.co/nPVWyroy0w",[],91,['shib'],MILKSHAKE,1707,2021-10-13 00:57:38 UTC
shibainuart,1447792223421034499,en,355,Shiba Inu Influencers Condemn Matt Wallace for Spreading Hate Against $SHIB  Don't be mean #flattwallace.  Source: @IBTimesSG   https://t.co/hq3UBEiiE3,['flattwallace'],66,['shib'],MILKSHAKE,961,2021-10-12 05:12:19 UTC
