likes_count,name,created_at,retweets_count,id,replies_count,hashtags,language,cashtags,tweet,username
500,THEWIZARD ( dont dm u ),2021-09-10 12:14:20 UTC,24,1436302015651631105,34,[],en,"['luna', 'luna']",Few months ago i didnt see $luna on my timeline.   Now everyone is into $luna  Pump my baggs to 3 digits.  https://t.co/ww71y0S493,cryptowizardd
303,THEWIZARD ( dont dm u ),2021-09-09 17:35:48 UTC,18,1436020528289026051,28,[],en,['luna'],Me when $luna hits $500  https://t.co/zqfCtOqKNb,cryptowizardd
349,THEWIZARD ( dont dm u ),2021-09-09 04:50:58 UTC,36,1435828052878053378,24,[],en,"['fet', 'luna', 'fet']",$FET   Tell me how much coins did make a New ath after the last dump  Indeed the 2 in my name  $luna $fet,cryptowizardd
198,THEWIZARD ( dont dm u ),2021-09-09 00:41:09 UTC,5,1435765184770019330,8,['few'],en,"['luna', 'fet']",@zhusu $luna and $fet  #few,cryptowizardd
330,THEWIZARD ( dont dm u ),2021-09-09 00:40:58 UTC,32,1435765136556503040,14,[],en,"['luna', 'fet']",$luna and $fet  Thnx for future references,cryptowizardd
1033,THEWIZARD ( dont dm u ),2021-09-08 13:54:16 UTC,33,1435602389176815621,121,[],en,"['luna', 'sxp']",WIZARD SIR PLS PUMP $LUNA PUMP $SXP   guys u think i can move billion dollar markets ?  🤣 stop pls,cryptowizardd
771,THEWIZARD ( dont dm u ),2021-09-07 22:37:12 UTC,44,1435371602905083906,32,[],en,"['btc', 'ftt', 'luna']",My plan  I have 28% in stablecoins  Start buying once $BTC trades around 38.000 / 40.000  If it doesnt get there. And goes back up. I am fine to. Means my spotbags Will fly again   Win/win  I plan to buy the dips on $FTT $LUNA   Thats it 👍  Free alpha and now i go to bed Gn,cryptowizardd
423,THEWIZARD ( dont dm u ),2021-09-07 16:19:48 UTC,27,1435276627945168896,26,[],en,"['fet', 'luna']",Back to the gym  $FET $LUNA  https://t.co/TXhmV9jOtD,cryptowizardd
605,THEWIZARD ( dont dm u ),2021-09-07 12:07:57 UTC,34,1435213247725150214,83,[],en,"['vra', 'fet', 'luna', 'matic', 'chz']",Wizard 2021 top picks  $VRA below 600 k marketcap  $fet below $0.009 $luna below $0.20 $matic below $0.03 $chz around $0.02  How ya doing bro ?  https://t.co/RwkYLpFo8K,cryptowizardd
397,THEWIZARD ( dont dm u ),2021-09-07 04:50:32 UTC,13,1435103165318377473,25,[],en,"['fet', 'luna']",Never lose faith. Always trust the procces  Well done champ 🌖💗 $fet $luna  https://t.co/5NdQgdPIWm,cryptowizardd
326,THEWIZARD ( dont dm u ),2021-09-07 04:31:16 UTC,13,1435098316149334017,47,[],en,"['luna', 'vra', 'fet', 'chz', 'vgx']",I leave this here 🤲💗  I can honestly say i made it. Friends / healthy /blessed.  Numbers speak for it self  10 to 250 k followers in 10 months 💗  $luna $vra $fet $chz $vgx  https://t.co/hJwUDDB4v7,cryptowizardd
