hashtags,username,language,created_at,tweet,retweets_count,cashtags,id,replies_count,name,likes_count
['omnilite'],litecoin,en,2021-11-10 16:41:26 UTC,@AgilePeter You could build a Discord currency on the Litecoin network with  https://t.co/SL8yUbQq4I 🤔 #OmniLite,18,[],1458474892718854147,6,Litecoin,102
[],litecoin,en,2021-11-09 15:39:50 UTC,@crazikowy When was it not cool? Asking for a friend.,0,[],1458097005566251032,3,Litecoin,5
"['litecoin', 'tuesdaymotivations']",litecoin,en,2021-11-09 14:08:24 UTC,🚀 Up all night to get lucky! 🚀  #Litecoin $LTC ⚡ #tuesdaymotivations  https://t.co/nrlPIDla8S,216,['ltc'],1458073995723436037,123,Litecoin,1184
"['litecoinfam', 'mindthegap']",litecoin,en,2021-11-08 16:31:51 UTC,ICYMI: The @LTCUnderground just started a #LitecoinFAM podcast!  They're also doing weekly twitter spaces. #MindtheGap,67,[],1457747704499474438,77,Litecoin,323
[],litecoin,en,2021-11-06 15:25:35 UTC,"@cr12399 @landoncassill Every race, it's been a whole week. You need to get out more lol.",1,[],1457006254316949512,3,Litecoin,11
"['phoenix', 'nbcsn', 'nascar', 'paywithlitecoin', 'litecoin10', 'litecoin', 'litecoinfam', 'crypto', 'xfinity', 'caturday']",litecoin,en,2021-11-06 15:21:01 UTC,"Litecoin to XFINITY!! Today @landoncassill will earn his pay in $LTC⚡ for the 'Race at Phoenix' at #Phoenix Speedway! LIVE on #NBCSN Sat, Nov 6th 8:30p ET #NASCAR #PaywithLitecoin #Litecoin10 #Litecoin #LitecoinFam #crypto #Xfinity #Caturday  https://t.co/L5qRHOQ7nD",87,[],1457005106562404353,71,Litecoin,436
"['paywithlitecoin', 'litecoin', 'crypto', 'fridayvibes']",litecoin,en,2021-11-05 17:52:03 UTC,The power to #PaywithLitecoin at 50 million merchants worldwide:   ⚡ https://t.co/EKezeYZObI⚡  Converted from $LTC to fiat at the time of sale 💳 #Litecoin #crypto #FridayVibes  https://t.co/jNzJJaHfji,223,['ltc'],1456680726691127297,169,Litecoin,946
"['crypto', 'litecoin', 'bitpay', 'paywithlitecoin']",litecoin,en,2021-11-04 18:43:25 UTC,Litecoin is now the 2nd most transacted #crypto with @Bitpay merchants!   Rising in use only months after being added to the platform #Litecoin⚡ $LTC 🛒#BitPay making it easier to #PaywithLitecoin  https://t.co/DdtoNg0phY,307,['ltc'],1456331264013701152,313,Litecoin,1180
"['litecoin', 'mweb']",litecoin,en,2021-11-04 17:44:59 UTC,#Litecoin⚡ + #MWEB🪄 = Sound Money   @DavidBurkett38 is taking the stage live now on youtube:  https://t.co/c9tdS4kCWA,55,[],1456316560717455369,43,Litecoin,273
"['litecoin', 'crypto']",litecoin,en,2021-11-03 17:03:19 UTC,.@InvestorPlace: Why Litecoin Is Likely to Keep Doing Well in 2022 and Beyond $LTC #Litecoin #Crypto   https://t.co/m6UhdsbWS0,96,['ltc'],1455943687398064132,94,Litecoin,471
"['australian', 'litecoin', 'crypto', 'commbank']",litecoin,en,2021-11-03 02:47:47 UTC,"Australia's #1 banking app @CommBank are becoming the first #Australian bank to offer the ability to buy, sell and hold #Litecoin (and three other #crypto assets) directly in their #CommBank app  https://t.co/5mMi8YbJaA  https://t.co/StLTFdmqNy",282,[],1455728384739213312,272,Litecoin,1001
['litecoin'],litecoin,en,2021-11-02 18:42:26 UTC,Who's mining #Litecoin? And what are you running?,46,[],1455606239723884548,106,Litecoin,567
[],litecoin,en,2021-11-02 18:11:47 UTC,@YFPICommunity Mining is quite possibly the most important part of the Litecoin Ecosystem that not only helps with distribution as well as decentralization but much much more.. so what exactly is Litecoin Mining?  https://t.co/1AmDjbNyxc,0,[],1455598528919584769,1,Litecoin,5
