likes_count,retweets_count,replies_count,id,language,hashtags,name,created_at,tweet,cashtags,username
103,29,61,1457895418336002052,en,"['dot', 'gateio', 'dot', 'polkadot', 'parachain']",Gate.io,2021-11-09 02:18:48 UTC,🔥  https://t.co/8kWqgEeplL Supports $DOT Slot Auctions: @subdao_network 🔥     🔒 Lock #DOT &amp; Earn $GOV   Participate:  https://t.co/zBcTd42maw  #Gateio #DOT #Polkadot #parachain  https://t.co/9EqX04hNfT,"['dot', 'gov']",gate_io
100,19,130,1457678056739545089,en,"['udo', 'dot', 'gateio', 'polkadot']",Gate.io,2021-11-08 11:55:05 UTC, https://t.co/8kWqgEeplL Top @Polkadot Gainers  #UDO @UnidoEP is FLYING with 59.82% in Gains  How Much Profit Are You in Today?  Trade $UDO:  https://t.co/bHW0VrlEt9 Learn More About #DOT:  https://t.co/IHENnwXfV8  #Gateio #Polkadot  https://t.co/bvGL8vgY4P,['udo'],gate_io
93,24,63,1456603492840312841,en,"['gum', 'polkadot', 'dot', 'gateio', 'dot']",Gate.io,2021-11-05 12:45:09 UTC,Top Performing @Polkadot Tokens on  https://t.co/8kWqgEeplL  @gourmetprojects #GUM Outperforms Everyone With +39.01% Gains  Which #Polkadot project are you interested in?  Trade $GUM:  https://t.co/o1Vjt9TnXT Learn More About #DOT:  https://t.co/IHENnwXfV8  #Gateio #DOT  https://t.co/L6HkVEN2nG,['gum'],gate_io
142,34,84,1456579561102184456,en,"['polkadot', 'polkadot', 'polkadot', 'gateio']",Gate.io,2021-11-05 11:10:03 UTC,"📙Trending #Polkadot Projects With Small Capitalization📙  With the #Polkadot auction going live, market hype has shifted towards the #Polkadot ecosystem.  Now let's check out the top trending 10 small-capitalization Polkadot coins on #Gateio⬇️  $PHA $LIT  $DOCK $BLZ $DEGO $DOT  https://t.co/oVV9I06sSt","['pha', 'lit', 'dock', 'blz', 'dego', 'dot']",gate_io
166,53,232,1456278836589600778,en,"['polkadot', 'dot', 'gateio', 'dot', 'cru']",Gate.io,2021-11-04 15:15:05 UTC, https://t.co/8kWqgEeplL Top Performing @Polkadot Tokens  @CrustNetwork $CRU Making Big Moves With a 13.13% Increase  😉Share the #Polkadot Project You Like Best &amp; Why  Trade $CRU:  https://t.co/LcAJkCUZQB Learn More About #DOT:  https://t.co/IHENnwXfV8  #Gateio #DOT #CRU  https://t.co/P2298kU3NJ,"['cru', 'cru']",gate_io
233,54,111,1456248660849745920,en,"['gateio', 'dapps']",Gate.io,2021-11-04 13:15:11 UTC,"📔#Gateio Web 3.0 Concept Coins Overview📔  At the forefront of the decentralized internet is Web 3.0. It will empower individuals in areas such as storage, trading, privacy, etc.  Learn more about Web 3.0 #dApps in the image below⬇️  $ETH $DOT $UNI $LINK, $DYDX, $BAT $LIT $ICP  https://t.co/d9wefkPCSe","['eth', 'dot', 'uni', 'link', 'dydx', 'bat', 'lit', 'icp']",gate_io
52,9,38,1456229909798526984,en,"['gateio', 'dao', 'dot', 'web3']",Gate.io,2021-11-04 12:00:40 UTC,"#Gateio Altcoin Gems #7  @subdao_network is one such project that has been developing efficient management tools to successfully execute #DAO operations for organizations to migrate to Web 3.0    Spotify, iTunes, Stitcher:  https://t.co/2EQBp462e2  #DOT #WEB3  https://t.co/6oSbsm7g03",[],gate_io
99,23,60,1455916474867068932,en,"['gum', 'polkadot', 'crypto', 'dot']",Gate.io,2021-11-03 15:15:11 UTC, https://t.co/8kWqgEeplL Top Performing $DOT Tokens  The @Polkadot Ecosystem is on fire!   @gourmetprojects #GUM (+82.4%) Is Shooting To The Moon  Which #Polkadot #crypto Do You Have Your Eye On Today?  Trade $GUM:  https://t.co/QAYAQvGxnk More About #DOT:  https://t.co/IHENnwXfV8  https://t.co/NNoBvxgILd,"['dot', 'gum']",gate_io
72,17,35,1455523870480470016,en,"['polkadot', 'ksm', 'ksm']",Gate.io,2021-11-02 13:15:07 UTC,The Long-Awaited #Polkadot Parachain Auction Is Fast Approaching😎  Do you remember the winners from the 2nd round of the #KSM slot auction? Did you lock #KSM to support them?  Check out our blog for an overview👇  https://t.co/8kWqgEeplL Blog:  https://t.co/h0AwT5rDC6  https://t.co/amUrGiMuaY,[],gate_io
173,45,58,1455516331797843971,en,"['polkadot', 'dot', 'crypto', 'gateio']",Gate.io,2021-11-02 12:45:10 UTC,Top #Polkadot Tokens On  https://t.co/8kWqgEeplL  @realpolkabridge ( $PBR ) Is Up With 61.2% Gain  @Polkadot Ecosystem is On Fire  How Much Are You In Profit Today?  Trade $PBR:  https://t.co/fnu1gdWOC2 More About #DOT:  https://t.co/IHENnwXfV8  #Crypto #Gateio  https://t.co/hh9W2dqIDA,"['pbr', 'pbr']",gate_io
