,datetime,asset,price_usd,marketcap_usd,circulation
94,2021-09-03 00:00:00+00:00,ETH,3940.6147367477706,462538485147.0,117616112.44574207
95,2021-09-04 00:00:00+00:00,ETH,3887.8284903181648,456394981337.0,117629521.67110245
96,2021-09-05 00:00:00+00:00,ETH,3952.1334968467886,463997267858.0,117643141.66867633
97,2021-09-06 00:00:00+00:00,ETH,3928.3794378049965,461261434464.0,117656643.75801337
98,2021-09-07 00:00:00+00:00,ETH,3426.394318425122,402365928843.0,117670094.16405845
99,2021-09-08 00:00:00+00:00,ETH,3497.315123304366,410741599782.0,117680853.13311835
100,2021-09-09 00:00:00+00:00,ETH,3427.340185941572,402569602098.0,117694373.88891093
101,2021-09-10 00:00:00+00:00,ETH,3211.5058401142596,377261165406.0,117707852.797438
102,2021-09-11 00:00:00+00:00,ETH,3270.278124811608,384209314701.0,117721248.90229155
103,2021-09-12 00:00:00+00:00,ETH,3410.134592755085,400686506367.0,117734835.48546515
104,2021-09-13 00:00:00+00:00,ETH,3285.511766263861,386087569776.0,117748223.855539
105,2021-09-14 00:00:00+00:00,ETH,3429.169636597516,403015177032.0,117761671.35601263
106,2021-09-15 00:00:00+00:00,ETH,3615.282616378894,424937147897.0,117775181.75979686
107,2021-09-16 00:00:00+00:00,ETH,3571.2949350055046,419815044704.0,117788734.72615089
108,2021-09-17 00:00:00+00:00,ETH,3398.538777821521,399552923890.0,117802239.75700873
109,2021-09-18 00:00:00+00:00,ETH,3432.018234624032,403535591621.0,117815701.8749871
110,2021-09-19 00:00:00+00:00,ETH,3329.447894898392,391520172702.0,117829241.32204719
111,2021-09-20 00:00:00+00:00,ETH,2958.993504728316,347997332693.0,117842708.22528379
112,2021-09-21 00:00:00+00:00,ETH,2764.431130864969,325153006769.0,117856279.39197755
113,2021-09-22 00:00:00+00:00,ETH,3077.867980527073,362060838609.0,117869728.15315506
114,2021-09-23 00:00:00+00:00,ETH,3155.5237338611523,371237859101.0,117883102.2855073
115,2021-09-24 00:00:00+00:00,ETH,2931.669216719692,344941570042.0,117896553.09522146
116,2021-09-25 00:00:00+00:00,ETH,2925.565608690162,344263323578.0,117910274.68263005
117,2021-09-26 00:00:00+00:00,ETH,3062.2653558037177,360390447457.0,117923624.30670947
118,2021-09-27 00:00:00+00:00,ETH,2934.1387982985507,345350983222.0,117937109.86355455
119,2021-09-28 00:00:00+00:00,ETH,2807.2967397712478,330459005352.0,117950419.94183975
120,2021-09-29 00:00:00+00:00,ETH,2853.1433729158744,335894451616.0,117963908.65167147
